Question,Answer
when did concert flutes begin appearing in concert ensembles?,the 16th-century
how does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument
how does a flute player change the pitch of the sound?,opening and closing holes in the body of the instrument
what is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle
what is the most basic form of the flute?,open tube which is blown like a bottle
what family is the panda a part of?,ursidae (bear)
what family is the panda a part of?,ursidae
how long does it take for the panda cubs skin to turn gray?,one to two weeks after birth
how long does it take for the panda cubs skin to turn gray?,one to two weeks
what foods do pandas eat?,bamboo
what foods do pandas eat?,"bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas"
what are the two subspecies of giant pandas?,ailuropoda melanoleuca melanoleuca and  ailuropoda melanoleuca qinlingensis 
what are the two subspecies of giant pandas?,"ailuropoda melanoleuca melanoleuca and the qinling panda, ailuropoda melanoleuca qinlingensis"
where do giant pandas live?,a few mountain ranges in central china
where do giant pandas live?,"sichuan province, shaanxi and gansu provinces"
is the giant panda a carnivore?,yes
why is the giant panda an endangered species?,threatened by habitat loss
why is the giant panda an endangered species?,it is threatened by continued habitat loss and by a very low birthrate
is the population of wild giant  pandas growing?,"according to some reports, yes"
is the population of wild giant  pandas growing?,yes but uncertain
where is the headstock located?,end of the guitar neck furthest from the body
where is the headstock located?,at the end of the guitar
what are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials"
what are modern guitar strings constructed of?,"metal, polymers, or animal or plant product materials"
why are harp guitars difficult to classify?,as there are many variations within this type of guitar
why are harp guitars difficult to classify?,there are many variations within this type
what is the bridge used for?,transfer the vibration from the strings to the soundboard
what is the bridge used for?,the transfer of string vibrations
which guitars use three single-coil pickups?,fender statocaster type guitars
which guitars use three single-coil pickups?,fender stratocaster type guitars
what is the point called that is bolted or glued to the body of the guitar?,neck joint
what is the point called that is bolted or glued to the body of the guitar?,neck joint or heel
did becquerel study science at the �cole des ponts et chauss�es?,yes
did he become chief engineer in the department of bridges and highways in 1892?,no
did he become chief engineer in the department of bridges and highways in 1892?,yes
what is the si unit for radioactivity called?,becquerel
what is the si unit for radioactivity called?,the becquerel (bq)
"when becquerel discovered radioactivity, whose work did he investigate?",wilhelm conrad r�ntgen
"when becquerel discovered radioactivity, whose work did he investigate?",wilhelm conrad röntgen
where are there craters named becquerel?,moon and mars
where are there craters named becquerel?,on the moon and on mars
why did bequerel win the nobel prize in physics?,discovery of spontaneous radioactivity
why did bequerel win the nobel prize in physics?,was the discoverer of radioactivity
was isaac newton british?,yes
was isaac newton british?,"yes, he was english"
was isaac newton religious?,it is not clear
was isaac newton religious?,"yes, he was highly religious, though an unorthodox christian"
did isaac newton die in 1898?,no
did isaac newton die in 1898?,"no, newton died in his sleep in london on 31 march 1727"
where was isaac newton born?,at woolsthorpe manor in woosthorpe-by-colsterworth
where was isaac newton born?,"he was born at woolsthorpe manor in woolsthorpe-by-colsterworth, a hamlet in the county of lincolnshire"
who shares credit with isaac newton for developing calculus?,gottfried leibniz
who shares credit with isaac newton for developing calculus?,newton shares the credit with gottfried leibniz for the development of the differential and integral calculus
